Colistin_0.8ugml,Ethanol_5.,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,pH_8,pH_9,Colistin_4ugml,Colistin_8ugml,EDTA_0.1mM,EDTA_0.5mM,EDTA_1mM,Imipenem_0.5ugml,Imipenem_1ugml,Indole_1mM,RPMI_1,pH_5,pH_6,Aceticacid_0.7mM.1,Aceticacid_0.7mM,Aceticacid_1mM,Aceticacid_5mM,Bleach_1.,Chloramphenicol_1.6ugml,Chloramphenicol_8ugml,DMSO_1.,Ethanol_1.,M9_GLUCOSE,Methanol_1.,Methanol_5.,Propanol_1.,TWEEN20_0.8.,TWEEN20_0.8..1,TWEEN20_1.5.,Tetracycline_0.8ugml,Ceftazidime_0.2ugml,Ceftazidime_1ugml,Ceftazidime_2ugml,Ciprofloxacin_0.05ugml,Ciprofloxacin_0.25ugml,Ciprofloxacin_0.5ugml,LB_2,UV_12sec,UV_24sec,UV_6sec
0.833,0.844,0.87,0.655,0.774,0.868,0.841,0.758,0.861,0.864,0.8125,0.7705,0.7655,0.696,0.727,0.657,0.683,0.637,0.829,0.574,0.707,0.8185,0.84,0.8525,0.861,0.733,0.844,0.772,0.783,0.813,0.847,0.892,0.831,0.751,0.833,0.773,0.77,0.722,0.839,0.8,0.781,0.7545,0.775,0.789,0.7785,0.807,0.8175,0.82,0.769
0.691,0.72,0.748,0.75,0.778,0.7585,0.752,0.8,0.782,0.741,0.768,0.7090000000000001,0.651,0.6950000000000001,0.644,0.696,0.665,0.7210000000000001,0.6425000000000001,0.348,0.596,0.731,0.6485,0.69,0.6345000000000001,0.651,0,0.715,0.718,0.512,0.643,0,0.6045,0.65,0.637,0.733,0.733,0.621,0.5245,0.797,0.777,0.69,0.7605,0.8125,0.7745,0.793,0.778,0.755,0.727
0.812,0.837,0.842,0.809,0.837,0.832,0.8285,0.717,0.865,0.853,0.722,0.663,0.7335,0.709,0.759,0.729,0.779,0.774,0.709,0.692,0.749,0.786,0.756,0.746,0.8025,0.766,0.751,0.786,0.786,0.7375,0.838,0.849,0.837,0.788,0.814,0.7955000000000001,0.795,0.702,0.827,0.808,0.832,0.835,0.823,0.8085,0.79,0.825,0.8180000000000001,0.749,0.823
0.818,0.8365,0.848,0.737,0.847,0.863,0.841,0.819,0.849,0.86,0.8805000000000001,0.691,0.722,0.723,0.768,0.7205,0.665,0.6265000000000001,0.827,0.758,0.709,0.787,0.785,0.772,0.815,0.772,0.8255,0.793,0.843,0.7715000000000001,0.8485,0.902,0.81,0.796,0.848,0.811,0.812,0.804,0.806,0.852,0.828,0.847,0.86,0.844,0.827,0.849,0.8095,0.8425,0.782
0.881,0.8285,0.863,0.717,0.652,0.84,0.8125,0.8425,0.861,0.856,0.872,0.6145,0.7585,0.646,0.734,0.6699999999999999,0.624,0.683,0.795,0.868,0.71,0.801,0.819,0.823,0.83,0.739,0.73,0.762,0.809,0.77,0.839,0.606,0.8180000000000001,0.78,0.856,0.8275,0.799,0.7945,0.833,0.85,0.845,0.8425,0.861,0.848,0.8255,0.819,0.849,0.844,0.788
0.845,0.856,0.86,0.716,0.86,0.794,0.814,0.743,0.819,0.853,0.867,0.7325,0.743,0.73,0.763,0.711,0.639,0.6965,0.846,0.801,0.711,0.819,0.7335,0.741,0.8454999999999999,0.711,0.848,0.801,0.674,0.758,0.806,0.879,0.793,0.825,0.85,0.7695000000000001,0.784,0.787,0.823,0.787,0.776,0.819,0.848,0.84,0.82,0.8374999999999999,0.801,0.767,0.763
0.779,0.8354999999999999,0.827,0.426,0.49450000000000005,0.878,0.814,0.8334999999999999,0.876,0.863,0.879,0.6759999999999999,0.7375,0.779,0.688,0.5714999999999999,0.772,0.6305000000000001,0.858,0.726,0.7645,0.788,0.6725,0.705,0.832,0.6779999999999999,0.621,0.7565,0.769,0.742,0.8405,0.355,0.672,0.773,0.812,0.72,0.7615000000000001,0.78,0.768,0.82,0.787,0.793,0.8565,0.8265,0.824,0.86,0.79,0.835,0.755
0.783,0.839,0.825,0.646,0.748,0.806,0.766,0.817,0.8634999999999999,0.858,0.87,0.7525,0.296,0.726,0.783,0.7235,0.84,0.82,0.843,0.703,0.709,0.764,0.778,0.756,0.8245,0.806,0.8205,0.8115,0.825,0.7495,0.854,0.68,0.793,0.826,0.834,0.798,0.814,0.7765,0.831,0.616,0.555,0.64,0.72,0.658,0.5740000000000001,0.709,0.8274999999999999,0.7515000000000001,0.794
0,0,0,0,0,0,0.1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0.367,0.653,0,0,0.806,0,0.2455,0.487,0,0.6034999999999999,0.475,0.477,0.8355,0.873,0,0,0.426,0.4945,0.431,0.5265,0.4595,0.173,0.545,0.398,0.3055,0
0.738,0.845,0.6970000000000001,0.445,0.486,0.7364999999999999,0.6705000000000001,0.7745,0.6885,0.821,0.708,0.6315,0,0.741,0.694,0.712,0.8265,0.819,0.82,0.744,0.7444999999999999,0.7155,0.797,0.797,0.7435,0.748,0.79,0.841,0.741,0.763,0.738,0.548,0.7875000000000001,0.768,0.591,0.7415,0.718,0.773,0.69,0.572,0.51,0.6885,0.629,0.613,0.649,0.662,0.611,0.6075,0.5645
0.777,0.746,0.7505,0.511,0.87,0.62,0.658,0.7215,0.66,0.771,0.6605,0.8465,0.4195,0.633,0.794,0.7635000000000001,0.664,0.7125,0.6955,0.769,0.718,0.678,0.64,0.648,0.6415,0.64,0.735,0.6855,0.693,0.608,0.684,0.591,0.6839999999999999,0.728,0.641,0.698,0.7084999999999999,0.609,0.697,0.585,0.5589999999999999,0.624,0.619,0.645,0.61,0.624,0.622,0.6815,0.658
0.661,0.764,0.7424999999999999,0.695,0.74,0.7484999999999999,0.7925,0.6910000000000001,0.804,0.684,0.838,0,0,0.7525,0.65,0.6930000000000001,0.7384999999999999,0.7495,0.744,0.72,0,0.663,0.612,0.612,0.763,0.673,0.656,0.749,0.772,0.66,0.694,0,0.7645,0.6555,0.732,0.682,0.6859999999999999,0.72,0.799,0.818,0.806,0.7415,0.772,0.7905,0.801,0.775,0.7404999999999999,0.4215,0.565
0.737,0.808,0.755,0.773,0.775,0.808,0.827,0.7444999999999999,0.732,0.804,0.842,0.7115,0.302,0.701,0.707,0.718,0.722,0.7935000000000001,0.808,0.567,0.6335,0.732,0.8045,0.8045,0.8025,0.733,0.791,0.8,0.749,0.839,0.778,0.335,0.795,0.769,0.8055000000000001,0.7949999999999999,0.777,0.826,0.815,0.781,0.773,0.786,0.766,0.8025,0.7709999999999999,0.8245,0.753,0.818,0.797
