Colistin_0.8ugml,Ethanol_5.,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,pH_8,pH_9,Colistin_4ugml,Colistin_8ugml,EDTA_0.1mM,EDTA_0.5mM,EDTA_1mM,Imipenem_0.5ugml,Imipenem_1ugml,Indole_1mM,RPMI_1,pH_5,pH_6,Aceticacid_0.7mM.1,Aceticacid_0.7mM,Aceticacid_1mM,Aceticacid_5mM,Bleach_1.,Chloramphenicol_1.6ugml,Chloramphenicol_8ugml,DMSO_1.,Ethanol_1.,M9_GLUCOSE,Methanol_1.,Methanol_5.,Propanol_1.,TWEEN20_0.8.,TWEEN20_0.8..1,TWEEN20_1.5.,Tetracycline_0.8ugml,Ceftazidime_0.2ugml,Ceftazidime_1ugml,Ceftazidime_2ugml,Ciprofloxacin_0.05ugml,Ciprofloxacin_0.25ugml,Ciprofloxacin_0.5ugml,LB_2,UV_12sec,UV_24sec,UV_6sec
4230,3801,5004.5,1295,1202,3772,4578,3859,3980,3108,3110.5,3335.5,2565,3920,2613,2500.5,3222,2316,2637,2528,3705,3756,2952,2915,3526,2656,2694,1736,797,2980,3118,1998,3110,2968,3346,3376,3504,3726,4196,5744,5543,5628.5,5438,6005,6343,5564,4618,5423,4894
2479,1576,2502,3118,2560.5,2110.5,2133,2564,1916,1964,1613,1860,1959,1568,1631,1386.5,1506,1788.5,945,1631,725,1253.5,702,554.5,1051,386.5,0,1579,1984,752.5,519,0,1108,1106,796,603,703,1340,737,2175,1986,2376.5,2533.5,2080.5,2269.5,2080.5,1654.5,2530,1971
3100,2131.5,3574.5,2786,3279,2305,3506.5,2462.5,2839,2500,1901,3088.5,2767.5,2034,1059,1004.5,2576,1901,1202,1942,1797,2248,2320,2338,2803,1628,2415,3107,3624,2063,2625,1354,2481,1929,2709,2467,2685,2823,2995,4234,4148,4662,3920,4273,4602.5,4190,3964,4768.5,1973
2466,2138,3325.5,812.5,751,2329.5,3693,2740.5,2629,2009,1905.5,2955.5,2853,2547,1314,1019,1981,1753,1462,2380,2532,2522,2524,2632,3568,1835.5,2746,3220,2086,2405,2881,1311,2808,2560,3055,2756,2868,2993,3778,5816,5919,5596,4893.5,5427,6477,4429,4056,5167,2888.5
2020,1804,2968.5,1265,2403,1864,3055.5,2266,2273,1926,1829.5,2570,1977,1967,1337,866,1427,969,1249,2356,1535,1951.5,1854,1829,2099,900,1452.5,2799,3514,1823.5,1816.5,1230,2133.5,1733,1973,1948,1968,2601,2195,4125,4306.5,3696,3458.5,3941.5,4787,3285,3254,3407,2163.5
2681,2182,3946,3647,3542,1970.5,3470,2463.5,2589,2219,1747.5,2823,2258,1947,1469,1018,1748,1200,1170,2200,1774,1835,2277.5,2287,2810,1257.5,2134,2958.5,3598,2181,2400,1483,2607.5,2008,2467.5,2365.5,2723,2515.5,2951,4641,5001,4678,4183,4789.5,5373,3948.5,3492,3597,1493
2074,1605,2274,1182,1606.5,1765.5,2501,2122,2281,1973,1620.5,2462,1953.5,1422,1518,878.5,1173,1174,957.5,1705,1317,1544,1373,1398,1864.5,537,1344,2386,2557,1358,1649,864,1809,1468,1931,1610,1767,1993,2174,3082,3155,3523.5,2731.5,3111,3590,2516,2098,2215.5,1719
3170,2020,3490.5,3504.5,3213,2644.5,3101,2076,2363.5,2144,1673,2514.5,1029,2656.5,2004,1641.5,2856,2700.5,1947,3234,3835,2551,2123,2171,2465,1429,1728.5,2705,3275,1876,2019.5,1206,2499,2131.5,2249,2179.5,2245,2144,2682,4095,4378,4726,3809.5,4482,5020.5,3570,3683,4076,2104
0,0,0,0,0,0,336.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.5,353,247,0,0,151.5,0,240,192,0,478.5,209,163,314,292,0,0,10791,8193,4658,2260,5220.5,435,2972,452,414.5,0
2807.5,1788.5,3049,1657,1192,2098.5,2709,1917,2590,1770,1772.5,1627,0,2203,1705,1764,2086,2136,1469,2169,2044,1791,1542.5,1598,2139,847.5,1420,2079,1809,1712,1786,1032,1974,1874,1905.5,1747,1754,1916,2107.5,3125,3257,3407.5,2815.5,2881.5,3705.5,2917,2638,2918.5,1118
2543.5,2189,3169,1330,505,2801,2789.5,2518,2002,2750,1789.5,1261.5,205,2335,2386,2104.5,2367,2252.5,2026.5,2822,2397,2058,1654.5,1732,2499,1655,2235,2797,2343,1919,2714,408,1603,2314,2106,2017.5,2105,2468,2758,2658,2944,3442.5,2967,4096,3878.5,2737.5,2803,2910,2200
2539,1859.5,2776,3078,3300,2076.5,2422,2380,2060,2384,1563.5,0,0,1518,1194,1443,1278,1267,945,1331,0,1287,1557,1563,2132.5,1605.5,1075,1991,2491,1731.5,1672,0,1860.5,1773,1618,1709,1820,2125,1828,3391,2765,3039,3454.5,3011,3640,2937,703,103.5,1311.5
2311,1852.5,2380.5,2833,2973,1996.5,2745,2315.5,2106,1803,1660.5,2174,1484,1475,1064,1194.5,2052,2025,1376.5,1862,1302,1248,1886,1821,2476,1196,1737,2428,3216,1688,1635,1133,1966,1437,1922.5,1830.5,1718,2017,2237,3923,3937,4049,3276,3733.5,4666.5,3316,2942,2249.5,2602
4607,3614,4875.5,5491,5294.5,3698,4849,3655,4072,3178,2984,3644,2748,3774,2161,2207,3375,3075.5,2811,2940,3485.5,4018,2698,2847,3871,2304,2722,876,0,2955,3728.5,1868,3230,2998,4201,3887.5,4132,4122,4397,5923.5,6184,6142,5465,5922.5,6515.5,5353,4772,3938,5231
4789,2735.5,5092.5,6225,5373,4278,4152.5,3321.5,2740,2868,2173,4184,3621,3635,2670,2699.5,2816,2521.5,2225,3870,3659,3445,2863,2954,3446.5,2743,3376,1419,0,2938.5,3190,1736,3116.5,3086,3198,3417,3417,3892,3324,6521,6877,6174,6573.5,7332,8266.5,5522,5936,8082,6951.5
2544.5,1672,3847,3858,4226,2565,3526.5,1852,2366,1600,1195,1789,0,2253,1047,866,1966,2225,1025,1644,1108,1589,1977,2017,2223,1685,1907,2994,3634,2060,2021,1405,2491,2559.5,2346,2280,2315,2569,2842,5343,5276,5732,5110,5092,5982,4590,273.5,168.5,2037
