Colistin_0.8ugml,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,ethanol_5.,pH_8,pH_9
4230,5004.5,1295,1202,3772,4174,3859,3980,3575,3108,3110.5
2479,2502,3118,2560.5,2110.5,2156,2564,1916,1676,1964,1613
3100,3574.5,2786,3279,2305,2740,2462.5,2839,2128,2500,1901
2466,3325.5,812.5,751,2329.5,2676,2740.5,2629,2082,2009,1905.5
2020,2968.5,1265,2403,1864,2245.5,2266,2273,1789,1926,1829.5
2681,3946,3647,3542,1970.5,2710,2463.5,2589,1985,2219,1747.5
2074,2274,1182,1606.5,1765.5,2371,2122,2281,1846,1973,1620.5
3170,3490.5,3504.5,3213,2644.5,2279.5,2076,2363.5,1980,2144,1673
0,0,0,0,0,0,0,0,0,0,0
2807.5,3049,1657,1192,2098.5,2207,1917,2590,1840,1770,1772.5
2543.5,3169,1330,505,2801,2785,2518,2002,2145,2750,1789.5
2539,2776,3078,3300,2076.5,2338,2380,2060,1887,2384,1563.5
2311,2380.5,2833,2973,1996.5,2230,2315.5,2106,1828,1803,1660.5
4607,4875.5,5491,5294.5,3698,4480,3655,4072,3556,3178,2984
4789,5092.5,6225,5373,4278,3097,3321.5,2740,2721,2868,2173
2544.5,3847,3858,4226,2565,2669.5,1852,2366,1567.5,1600,1195
3911,4555.5,4851,4677,2419.5,2408,2456.5,2309,2042,2094,1705.5
3128,3751,3863,3901,2341,2556,2525,2643,1937.5,1919,1452.5
2464,3611,4025,4366,2008,2279,1934,2638,1552,1758,1389.5
2109,2233.5,2556,2882.5,1477.5,2181,828.5,1577.5,1179,984,1261.5
3910,4116,2481.5,1561,4329.5,3461,3548,2758,3901,3583,2578.5
3682.5,4139,1004,917,3034,3211,2566,3308,2097.5,2729,2202.5
2566,3217,4664,4391,2548.5,2408,2143,2314,2088,1984,1513.5
3231,3419,4476,4109,2650.5,2714,1133.5,2499,2561,2160,1401
4354.5,4415.5,1919,2546,3199,2875.5,2929,2620,2567,2592,2085
4693.5,5637.5,5686.5,5888,3242.5,3352,2939.5,3328,2558.5,2383,2052.5
3070,4013.5,4400,4223,2277,2711,1713,2424,2006,2181,1295.5
5551,5278,5910,5323.5,4824,3566,4510,3138,3818,3326,2337.5
3367.5,2601.5,1384,1405,4802,3740,4015,3322,3916,2854,2494.5
2871,0,0,0,2029,2498,2231.5,3292,1604,940,1761
3235,4964.5,5029,4997,3210.5,2848.5,3834,2781,2733,2970,2488.5
3212,4765.5,4918.5,4777,3145.5,3662,3607,3480,2823,3429,2468
3488,4644,4217,4525,4002.5,3675,4214,3993,3672.5,3643,2492
2246,2849.5,1451,1123.5,2280,2872,2681.5,2444,2170,2150,1942.5
4321,4684,837,728,3083,3405,3461,3367.5,2887,2317,2599
4202.5,4331,1660,1185,4393,2760,3594.5,2506,2185.5,2666,2166
1332,1788.5,0,617,1148,1516,1328,1395,1013,1549,1217
1739,2198,1742,1942,2388,2909.5,2734,2982,2209,2558,2249.5
2945,3632,1869,1064.5,2821,2950,2702.5,3090,2343,2241,2183
3735,4057,4573,4692,3020,2824,2894.5,2697,2376,2302,1997.5
2633,3343,2438.5,2717,2344,2553,2212.5,2592.5,2134,2008,2042
2809,2100,3244.5,2044,3561.5,2719,2937,1728,2814,2157,1102
4097.5,3930,3407,3701,2716,2526,2607,2377,2088,2059,1909.5
4613.5,4047,2703,1979,4253,3316,3802,3231,3324,3057,2936
969.5,1517,2347,2317,974,1337,1528,1699,893.5,1171,1768
4449.5,4770.5,4998,5360.5,5247.5,3910.5,4034.5,3395,3358,3039,3199
1727.5,2613,967,1037,2805.5,1971,2165,3135,761,972,1339.5
4583,4293,2549,1535,4624,3543,3696,3285,2798,2755,2299.5
3309,3570,4110,4994,3000,3537.5,3004.5,3346,2565,2268,1866.5
2278.5,2831.5,3324,4063,1890.5,1937.5,2358,2030,1705,2036,1160
1401,2651,3427,2979,2207,2112,1811.5,2272.5,1624,1718,1315
1670,2933,3656,4110,1957,2005,2077,2014,1874,1452,1424.5
3505,3914,1419,882,2651.5,2950,2911,2968,2444,2124,2029
4817,4533,1232,810,6080,4283,5090.5,4730,4261,5010,3436.5
2695,2773.5,3588,3229,2012,2580,2153,2315,1699,1856,1298
3054,3655,3654,3831,2728,2987,3023.5,2827.5,2467.5,2025,1857
2700.5,3010,3632,3647,2367,2796.5,2628,2732,2218,2115,1831.5
2449,2855,3281,3128,2108,2235,1902,2134,2065,1905,1884
1759.5,1937,2414,1995,1662,2125,1379,2015,1475,1491,1849
1932,2441,3051,2285,1418,2092,1260,2618,1221.5,1346,1744
5299,3845,1011.5,858,4945.5,3819,4269,3220,3462,3545,2693
4622,3602,973,826,3559,2985,3363.5,3017,2650,2668,1699.5
1992.5,1859,2185,883,2440.5,4027,1898,3372,1877,3638,1993.5
4016.5,4121.5,4227,4121,3461,3246,3429.5,3134,2635,2508,2260.5
2446.5,2671.5,2283,2684,1556,1946,2263.5,2272,1897,1734,1824
2055,1554,929,581,2701,2016,2560.5,1754,1695,2342,1651
2494.5,2091.5,939,613,2479.5,2342,2469,2199,1895,2186,1632
1984,2907,0,720,3305,3167,3378.5,3169,3327,2458,2055
0,471.5,0,0,316.5,1580,1057.5,1547,372,488,460.5
4351.5,4735.5,5032,5132,3947,3503,2930,2950,3421,2950,2552
1971.5,2430,2338,1300,1735.5,2110,2101,2001,1744.5,2043,1364
2794.5,3689,4949,4420,2497,2754,2415,2904,2059,2250,1819
3448,2928.5,2328,2575,2418,2998,2630,2748,2268,2165,1902.5
1621,1516,2097,1012,1220,2153,2005,1713.5,1303,1546,1700
3281.5,4019,3714,3960,3022,3352,2967.5,3324,2704,2456,2137.5
2724,1580,2835,1671,1376,2747,2278,2572,2580,2139,3008.5
2418,3149.5,3064,3161,3868,2531.5,2886.5,3464,2513,2558,2233
2903,3456.5,3701,4168,3639,2921,2863.5,2268,2708,2705,2269
3481,4208.5,4898,4304.5,2974,2283,2061.5,2398,1914,2194,1599
2734.5,3450,4078,4059,2114,2321,2300,2311,1979.5,2091,1825
