Colistin_0.8ugml,Ethanol_5.,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,pH_8,pH_9,Colistin_4ugml,Colistin_8ugml,EDTA_0.1mM,EDTA_0.5mM,EDTA_1mM,Imipenem_0.5ugml,Imipenem_1ugml,Indole_1mM,RPMI_1,pH_5,pH_6,Aceticacid_0.7mM.1,Aceticacid_0.7mM,Aceticacid_1mM,Aceticacid_5mM,Bleach_1.,Chloramphenicol_1.6ugml,Chloramphenicol_8ugml,DMSO_1.,Ethanol_1.,M9_GLUCOSE,Methanol_1.,Methanol_5.,Propanol_1.,TWEEN20_0.8.,TWEEN20_0.8..1,TWEEN20_1.5.,Tetracycline_0.8ugml,Ceftazidime_0.2ugml,Ceftazidime_1ugml,Ceftazidime_2ugml,Ciprofloxacin_0.05ugml,Ciprofloxacin_0.25ugml,Ciprofloxacin_0.5ugml,LB_2,UV_12sec,UV_24sec,UV_6sec
188744,163433,201335,47821,34935.5,173399,220693.5,95483.5,174769,147556,112965,161348,123455,151483.5,64867,55266.5,119080,70741,113582,84751,146226,182275,124853,123095.5,158926,94149.5,103304,47990,22649,127103,141170,97631,135418,130224,161652,138915,143836,158256,207564,310457,293107,297677,287210,319063.5,347932,280609,238222,287253.5,255567.5
66490,34176.5,63554.5,89428,74928,58267,50174,24753,47275,51408,36833.5,46363,46564.5,19089.5,12898,14142.5,34103,48640.5,12079,9880,5767,24478.5,9491,7286,16757,4308,0,26809,38475,9746.5,5659,0,18887,16020,8198,10828.5,10270.5,18952,7902,44841,46099,54348,59428,51970,59122.5,47014,32539,62521.5,37988
133486,90808,165087,110186,165695,92702.5,158639,50881,119211,106155,63280,145112.5,126847.5,76442,24687,18801,107596,79053.5,35944,56107,65330,97825,95146,95146,130237.5,53975,91464,136779,175242,81153.5,113698,70462,108502,80400,122608,102260.5,108205,114203,144267,213632,217610,243160,205943,225589.5,237329,221066,200237.5,236034.5,74057
118416,97297,142212.5,16937,27603.5,87028,173320.5,48960,112426,89866,67601.5,139712,138420.5,88072,31975,17679.5,64276,33397,39670,73297,92876,111753,98678.5,102009,161977,62146.5,107695,137095.5,85149,95843,119667,63356,122317,102530,145086,117352.5,116549.5,126663,177973,278447,312918,283121,262677.5,289736,336958,224672,195302,265007,128332
92448,80351.5,129478,31726,91232,69027.5,142093.5,42034,101069,87948,65029,113378,84149,62833,27439,11860.5,32515,14887,25820,67099,55428,87826,60896.5,60896.5,80269,24112,40688,117127,175735,66252,69701,35481,85151.5,62951,79991,75013,78411,107745,88856,200248,219978,190977,177691,206140,248380,156352,156541,168014.5,80281.5
130608,90367,176389,157967,179408,77887,161907.5,46981.5,109918,103112,64024,129723,93021.5,85593,32347,22128.5,36863,19244,37128,60501,60786,76550.5,75518.5,81677,114588,35083.5,75293,124788.5,158108,75634,96870,57532,101207.5,74745,109995,88908,108427,85966.5,123029,222279,246935,242855,212927.5,246532.5,279130,202531,164005,177204.5,49669.5
88093,58782.5,93561,10558,16985,67654,118350.5,35575,91200,87031,56137,102776,71617.5,44979,34846,12863.5,39170,24266,28693,43060,41217,53757.5,38792,43327,56016,8298,22364,88867,100033,32809.5,49708,13626,60412,48999.5,59776,38740.5,45762,51904,75088,140159,147578,174669,127770,157540,176956,124518,89540,100702.5,50450.5
141882,89758.5,160444,144575.5,157756.5,110588.5,136284.5,30612,94996.5,102921,52705.5,102259.5,31995.5,89045.5,40033,20152.5,126136,124935.5,73349,93710,172996,112031,74003,75967,94280.5,39982,49495,109615,142431,59724.5,74228,32856,94794,79480.5,93840,78953,82303,69828,102163,154941,180370.5,227607.5,174481,166828,205951,168849,157449,192333.5,61583
0,0,0,0,0,0,2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748.5,1472,2630.5,0,0,1905,0,2375.5,1697,0,5041,710.5,762.5,3015.5,2857,0,0,104429,74557,40505,22722,68139,0,35168,2253,3348,0
120759,73602,117268,35514,23182,79588,97240,41314.5,100554,73764,57506,47222.5,0,72918.5,24378,17556.5,66758,72801,60911.5,50085,65242,57156,42122,43136,68703.5,19388.5,36550.5,79258,62324,48000,52932,18670,64427.5,64871,44312,52719,52791,48165.5,65448,67134,69491.5,118940,73152.5,65586.5,115390,96719,78016,100536.5,14151
85609,57346.5,86462,23075,14808,72325,69073,32757,43097,76566,36685.5,50188,5179,42325,33206,27993,49713,45302,47855,54191,65754.5,44869,33496,33496,57744.5,33785,44709,74317,55466,37642,57864.5,8340,24931,46401.5,42948,40697.5,40697.5,43490,72812,43906,46610,67508,67678.5,92207,92961,71641,58910,69346.5,70530
70754,43723.5,73766.5,82377,87563,57391,65827,28196,53342,60962,33613,0,0,24376,10121,14022.5,26177,29219.5,13858,15537,0,24247,27624.5,27400,43774,24324,13649,43549,62078,31142.5,30837,0,39254,33380,35854,30379.5,36584,40940,33735.5,97788,81382,88335.5,109541,90182.5,109575,76269,14313,1135,23182.5
90659,71737,89133,111813,122190,73870,120288,50478.5,87873,74669,60911,53066.5,36714.5,43861,18780,18795.5,63012,84489.5,34286,43401,16633,35027,57510,55236,98593,25877,48610,87004,131331,47105,40265,27244,63290,42005,64188,56549,45252,65127,81672,168235,172180.5,198612,148397,174705,207010,149976,109855,86350.5,92533.5
237578,157464,224174,252802,255780,177851.5,238763.5,94569,195186,164277,117821,197646.5,144211,152118.5,62358,52599,137558,57689,127187,104593,148465,197513,115771,121012,182237,94229,119067,18932,0,134429.5,193109.5,105839,151611,132899,207113,183215,188695,198214,229562,329828,358230,334218.5,315349,345240.5,374141.5,315808,265394,216063,274958
226205,129871,217360.5,277687.5,266379,190770,201477,90929,129324.5,135540,94147,189510.5,172489,165502,62978,65213.5,85113,43386,108852.5,122006,153370,169849,123463.5,123463.5,165902.5,90065,132833,61165,0,131339.5,154029,88753,144018.5,148257,153072,149607,160556,167886,172938,340548,358736,326938,361046,394656,433157,300815,310825,433094.5,381170
131669,71205,182972,151899.5,204246,97629.5,168792.5,42580,99307.5,70154,46818,74328.5,0,89761,19502,17900,63713,34358,35034,47881,37694,64353,72285,77848,85255,49591.5,52375,132691,188350,74053,83656,48267,107229,94924,95674,89149,90333,101204,117280,249592.5,274688,270802,254979,257785,294739,227354,7634.5,2880.5,78146
173989,82688.5,193420.5,222528.5,234944.5,117443.5,90430,69930,113296,101154,76319,140732,146156,118209,33682,32747,132108,110463,81110,38302,99363,100478,49492,52806,73346.5,14249,32414,52114,103311,54766,52356,12671,56373,70188,60057,59528,56519,64926.5,76466,80035,94708,113322,97364.5,114839.5,135818,78400.5,0,0,0
142592,71684,151325.5,148439,164423,97932,106006.5,46098.5,106063,81037,51513,92062.5,65910,75156,9888,12007,83947,83017,60003,27256,20753,57693,41398.5,31323,16341.5,24107,570.5,0,0,11083,29460,1075,53069.5,21959.5,34210,45053,40651,33421,31445,128848,155814,137534,129978,146042,157438,141132,5051,0,56236.5
125854,65927,162630,178381,225445,88733.5,193544,38658,108276,69512,52300,123130,68969,94130,22737,16409,80813.5,92989.5,39996,69536,78402,115958,106858.5,106858.5,137959,81392,89285.5,163985,233995,103206,147134,73988,122598,117530,140021,115841.5,111553,116083,170090,302079,345738,328422,327069.5,311647,375874,277283,94483,182330,189165
43344,29893.5,62707.5,60085,82441,33418,89944,13611.5,25930.5,33008,28679,139310.5,157170,37389,11304,11597,142100,100104,40156,72089,40032,28381,52494.5,57080,73124,48495.5,42445,55869,0,50610.5,58480,10910,56418,68722,64801,58118,76599,83348,104869,123146,139946,162301,127448.5,199694.5,243972.5,133106,133766,159136.5,158608
128784,135185,133131,74492,36871,134340.5,97614,60026.5,78528,112503,73410,118541,117400.5,123948,59937,55686.5,179714,177431.5,125963,96683,117017,94030,38513,42453.5,59588,50229.5,83555.5,96977,119524,40718.5,47198.5,8410,44444,89107,54412,59060,59060,75110,66223.5,67002,70439,115911,102201,91473.5,90590.5,84736,87253,58540.5,43602
174385,113648,138620,22787,26622,117821,208382,55770,126194.5,103758,70746,132423,64502.5,127055,20938,30950,65313.5,74900,108436,73210,82943,104979,113658,132522,121997,129288,94963.5,110017,3453,111570,152112,62624,138820,123510,143043,136155,140435,150040,105117.5,313421,339952,347130.5,319717,226872,123015,288500,127689.5,137304.5,189410
142617,102818,151962.5,215767,228237,119941,177407,51321.5,111863.5,89635,59546,70742,34495.5,81437,12794,13368.5,62539.5,11953.5,42361,13896,43626,73394,68720.5,75604,126440,55213.5,38536,73716,95669,69406,110988,45835,87088.5,93743,125144.5,73971.5,82119,93091,133762,289802,282054,285267,254946,285711.5,301923,267317.5,180466,328406,239988
128200,76431,141824.5,203983,194187,97647,106651.5,18743,97871,73891,43679.5,94066.5,128484.5,85841,11168,17835.5,70928,80277.5,64189,56344,58660,68978,63550,65537.5,105993,51073,72047,112339,119882,73617.5,91684,40193,94811,100053,108187,91539,91823.5,108965,91422,107717,122734,136082,99111.5,136952.5,151463.5,107010,76741,44577,90660
207634,128200.5,194321.5,56204,71420,153468.5,215736.5,76990,120069,119439,91107,166170.5,139715.5,158373,34293,29983.5,57207,59970,111381,80186,124771,126526,133905.5,143187.5,161202,100266,109332,88707,158588,109877.5,165788,113930,147273,145749,159283,126641,137591,164852.5,90506,324616.5,340965,347739,269977,145238.5,188706,313866,167031.5,72111,218791
256206,124125.5,256708.5,256157.5,282690,155723,301433,88371.5,165325,123407,82069.5,198210,188765.5,166712,44665,48941,101275,85039,91732,93276,133644,160114,140741.5,150807,202656,89509.5,164387,207579,193931,136977.5,224635.5,64658,164154.5,172102,218402,157451.5,157451.5,166530,208106,487553,493534,469612,447404,450685.5,466563.5,463713,180860,242149,234522
115161,73967,150692,172198,196270.5,77651.5,135388.5,23090,81982,69513,38268,109142,138140.5,69452.5,17125,31656,83382,65286,51998,30569,69998.5,82694,79008,79008,106409,71362.5,80105,107703.5,169204,71695,99303,78007,96515,104559,116811.5,88308,95081,83107,99538,172612.5,189209,183878.5,158792,195867.5,211835,185163,87923,5907,149188
251007,191047.5,231889.5,271853,266881,228270.5,236869.5,109646,145383,160158,115268,293726.5,243370.5,189817,65076,59372.5,130703.5,129269,123162,98441,136320,129409,156842,158246.5,204001,114552,171571,226445,254174,162443,177102,72313,177420.5,181289,219059,155897,160313,188845,233039,332229,331709,335206,293593,309271.5,322336.5,306314,78917,35073,145500
167459,166909,82228.5,21307,14205,170718.5,180285.5,67991.5,138979,105318,63694,116144,65795,115602,55140,45609.5,114608,95911,96055,54639,142698,144929,101321,101321,121392,70960.5,78442,55396.5,0,97110,113648.5,64249,112102,101179,115213,96526,103234.5,113933.5,134998,207404,203567,201717,189505.5,155756,190256,192560,191143,199607,213611
108994,35839.5,0,0,0,76586,64540,35816,138143,32694,57881,0,0,0,0,0,0,0,0,0,0,0,906,1205,4774,0,0,2659.5,33575,1742,4135,0,4929,1302,11667,313.5,313.5,1191,0,43505,43246.5,9091,45866.5,36429.5,50335.5,63427,13760,0,0
